"_time",count
"2025-04-07T01:45:00.000-0400",194
"2025-04-14T01:45:00.000-0400",194
"2025-04-09T02:00:00.000-0400",170
"2025-04-07T01:30:00.000-0400",137
"2025-04-08T01:30:00.000-0400",67
"2025-04-15T01:30:00.000-0400",59
"2025-04-14T04:00:00.000-0400",55
"2025-04-09T05:15:00.000-0400",47
"2025-03-20T01:45:00.000-0400",45
"2025-05-05T10:45:00.000-0400",40
"2025-04-08T01:45:00.000-0400",31
"2025-04-09T04:00:00.000-0400",29
"2025-03-10T00:45:00.000-0400",28
"2025-04-08T04:15:00.000-0400",23
"2025-04-15T01:45:00.000-0400",20
